book_name,authors,publisher,pub_time,desc,score,people_num,price,img
诺兰变奏曲,[英] 汤姆·肖恩  李思雪 ,民主与建设出版社, 2023-9 ,《奥本海默》《信条》《敦刻尔克》《星际穿越》《盗梦空间》、《蝙蝠侠》三部曲导演，坐拥票房、口碑、话题度，当代最有号召力的全球商业大片导演 克里斯托弗·诺兰电...,9.1,222, 268.00元,https://img2.doubanio.com/view/subject/s/public/s34618931.jpg
安德烈·塔可夫斯基访谈录,[美] 约翰·吉安维托 编、[苏] 安德烈·塔可夫斯基  史敏 ,南京大学出版社, 2023-9-16 ,【编辑推荐】 ★安德烈·塔可夫斯基访谈合集首译中文，《乡愁》《索拉里斯》《雕刻时光》标配读物，精选二十二篇重要访谈。 -------------------...,8.7,126, 68.00,https://img2.doubanio.com/view/subject/s/public/s34622203.jpg
在这样的雨天,[日] 是枝裕和  曹逸冰 ,南海出版公司, 2023-9 ,🎬 编辑推荐 ★ 从初稿到成片，从东京到巴黎，从分镜到现场 | 是枝裕和的跨文化创作手记 ★ 从零到一再到无限！一个电影人的修行 ★ 影史传奇女演员 凯瑟琳...,7.6,115, 69.00元,https://img1.doubanio.com/view/subject/s/public/s34615179.jpg
电影的节奏是心跳 : 罗贝尔·布列松谈话录,[法] 米莲娜·布列松(编)  陆一琛 ,北京联合出版公司, 2023-7 ,▸“电影的节奏应该来自书写的节奏，来自心跳。” ▸持摄影机的哲学家、电影语言的革新者 ▸罗贝尔·布列松 权威访谈全收录 ▸中文版首次引进！ ◂凝聚四十年创作...,9.4,128, 78.00,https://img9.doubanio.com/view/subject/s/public/s34564685.jpg
一个家族的电影史,许金晶、孙海彦 ,文汇出版社, 2023-8 ,一个家族，三代艺术家伉俪，戏剧、影视的艺术血脉温情流淌。 如光影般描绘了中国电影和戏剧发展史上极为独特的艺术传承佳话。 《一个家族的电影史》讲述家族三代从事...,9.2,36, 85,https://img1.doubanio.com/view/subject/s/public/s34588170.jpg
电影考古学与世纪记忆 : 戈达尔《电影史》文论集,,孙松荣 主编, 中国国际广播出版社 ,让-吕克·戈达尔（Jean-Luc Godard）于2022年9月逝世，引起全世界影迷和电影界的追悼活动，他是法国著名电影导演、艺术家、批评家，他不仅是法国...,9.8,11, 2023-9-5,https://img2.doubanio.com/view/subject/s/public/s34610772.jpg
闪速前进 : 后电影文论选,[荷]帕特里夏·皮斯特斯 等、陈瑜 主编  陈瑜 等 ,上海文艺出版社, 2023-9 ,-编辑推荐- ★★★直面“电影之死”困境，寻觅数字时代的电影本质★★★ ★★★透视后电影的理论建构，剖析后电影之视域局限★★★ 当数字时代来临，电影的形态发...,7.1,17, 78.00,https://img1.doubanio.com/view/subject/s/public/s34614969.jpg
导演,[波] 西德尼·吕美特、西德尼·吕美特  张文思 ,海峡文艺出版社, 2022-3 ,美国导演工会推荐，好莱坞几代电影人都在读的导演工作终极之书 “他拍出了库布里克没有拍出过的伟大电影”诺兰、斯皮尔伯格等名导深情力荐 《十二怒汉》《东方快车谋...,8.9,518, 55.00元,https://img2.doubanio.com/view/subject/s/public/s34136223.jpg
雕刻时光,[苏] 安德烈·塔可夫斯基  张晓东 ,南海出版公司, 2016-5 ,★ 首次由俄文原著翻译出版 ★ 他一生都在雕刻时光，为了已经流逝、消耗或尚未拥有的时间 ★ 只要你热爱电影，我们一起雕刻时光 他的电影宛如一个奇迹，他创造了...,9.5,8518, 45.00元,https://img2.doubanio.com/view/subject/s/public/s28622011.jpg
如何读解电影（插图第4版）,[意] 詹姆斯·莫纳科、James Monaco  刘宇清、徐小棠 ,民主与建设出版社, 2022-7 ,影视传媒专业必读经典教科书 全球长销40余年 被译为德、意、希腊、日、韩等十几种语言 知名电影学者陈犀禾、周传基倾情推荐 第4版全新增订，将媒体批评带入了2...,9.3,53, 120.00元,https://img2.doubanio.com/view/subject/s/public/s34287252.jpg
