book_name,authors,publisher,pub_time,desc,score,people_num,price,img
苏格拉底 : 我们的同时代人,[英] 保罗·约翰逊  郝苑 ,广西师范大学出版社, 2023-9 ,著名历史学家保罗·约翰逊经典作品，冲破柏拉图与色诺芬的围城，还原历史上真实的苏格拉底，描绘我们这一代人的苏格拉底、每个人心中的苏格拉底。大学问出品 · 一部...,9.0,71, 58,https://img9.doubanio.com/view/subject/s/public/s34628355.jpg
悉达多 : 一首印度的诗,[德] 赫尔曼·黑塞  姜乙 ,天津人民出版社, 2017-1 ,《悉达多》并非是佛陀的故事，它讲述了一个人的一生，千万寻常人亦会经历的一生。 意气风发的少年郎，常认为自己是被命运选中的人。抛下过去，随了跌跌撞撞的步伐，找...,9.3,86462, 32.00元,https://img1.doubanio.com/view/subject/s/public/s29396368.jpg
将熟悉变为陌生 : 与齐格蒙特·鲍曼对谈,[英] 齐格蒙·鲍曼、[瑞士] 彼得·哈夫纳  王立秋 ,南京大学出版社, 2023-8-6 ,“原来的做事方式全部失效，新的方式却没有被发明出来。这就是我们今天的处境。” * ◎ 《工作、消费主义和新穷人》作者，鲍曼在世最后访谈。 ◎ 当代极具影响力...,8.9,1289, 68.00元,https://img2.doubanio.com/view/subject/s/public/s34593512.jpg
西方哲学史（第9版）,(美) 撒穆尔·伊诺克·斯通普夫、(美) 詹姆斯·菲泽  邓晓芒、匡宏、等 ,北京联合出版公司, 2019-8 ,畅销五十余载而不衰，备受好评的西哲史教材全新再版 通俗易懂的历史梳理，从古典文籍到当代前沿一应俱全 ◎ 编辑推荐 ☆自1966年初版至今最新修订版 ☆西方哲...,9.2,2905, 99.80元,https://img1.doubanio.com/view/subject/s/public/s33438650.jpg
真实与虚拟 : 后真相时代的哲学,金观涛 ,中信出版社, 2023-7 ,这是一个后真相时代，我们对于何为真实的判断暧昧晦暗。现代社会庞大的信息数据网络，除了如同迷魂阵令人难辨真假，也如同牢笼将我们封锁其中。回顾来路，20世纪的变...,9.0,156, 98元,https://img9.doubanio.com/view/subject/s/public/s34579844.jpg
刘擎西方现代思想讲义,刘擎 ,新星出版社, 2021-1 ,人生的意义，人们向往的自由和公平的价值，人类文明的复杂冲突与未来趋势……这些让你困惑的大小问题，过去也困扰过韦伯、尼采、萨特等杰出的头脑。他们尽最大努力做出...,9.2,33298, 79.00元,https://img2.doubanio.com/view/subject/s/public/s33802981.jpg
哲学之旅 : 一种互动性探究,(美) 威廉·F. 劳海德  张祖辽、杨东东 ,东方出版中心, 2023-9 ,《哲学之旅：一种互动性探究》是哲学史家威廉·F. 劳海德的代表作，面世后反响极佳，目前已出到第7版。本书是一部富有趣味性、互动性，对读者，尤其是初学者非常友...,8.4,21, 160.00元,https://img2.doubanio.com/view/subject/s/public/s34675022.jpg
存在主义咖啡馆 : 自由、存在和杏子鸡尾酒,[英] 莎拉·贝克韦尔  沈敏一 ,北京联合出版公司, 2017-12-1 ,巴黎，1933年…… 三位朋友正坐在蒙帕纳斯大道上的煤气灯酒吧里喝着杏子鸡尾酒。其中一个叫雷蒙·阿隆的年轻哲学家，正在向同为哲学家的让-保罗·萨特和西蒙娜·...,8.6,15914, 88.00,https://img2.doubanio.com/view/subject/s/public/s29675043.jpg
被讨厌的勇气,(日) 岸见一郎，古贺史健  渠海霞 ,机械工业出版社, 2021-1 ,本书用“青年与哲人的对话”这一故事形式总结了与弗洛伊德、荣格并称为“心理学三大巨头”的阿尔弗雷德·阿德勒的思想(阿德勒心理学)。 风靡欧美的阿德勒心理学对于...,8.3,16558, 55,https://img9.doubanio.com/view/subject/s/public/s34348664.jpg
大问题 : 简明哲学导论,[美] 罗伯特·所罗门、凯思林•希金斯  张卜天 ,广西师范大学出版社, 2014-12 ,本书的目的就是引导读者进入真正思考的大门。罗伯特•所罗门教授尤以擅长授课和写作清晰晓畅著称，他不像一般哲学导论著作那样按照事件发生的顺序罗列哲学史上的一些观...,9.3,8168, 65.00,https://img1.doubanio.com/view/subject/s/public/s29144990.jpg
理想国,[古希腊] 柏拉图  郭斌和、张竹明 ,商务印书馆, 1986-8 ,《理想国》涉及柏拉图思想体系的各个方面，包括哲学、伦理、教育、文艺、政治等内容，主要是探讨理想国家的问题。 《理想国》一书是柏拉图的一篇重要对话录，对话录里...,8.8,35944, 28.00元,https://img1.doubanio.com/view/subject/s/public/s34157889.jpg
思想之诗 : 从希腊主义到策兰,[美]乔治·斯坦纳  远子 ,广西师范大学出版社, 2023-8 ,人文主义者斯坦纳的诗与思溯源之旅 细细拆解哲学与文学的无穷缠结 【内容简介】 斯坦纳认为，整个西方哲学史中藏着一条文学的暗线，所有思想论说都蕴含风格、形象、...,9.2,89, 79.00元,https://img1.doubanio.com/view/subject/s/public/s34562738.jpg
在绝望之巅,[法国] E·M·齐奥朗  唐江 ,北京联合出版公司, 2022-6 ,◎“二十世纪的尼采”、现代欧洲最伟大的哲学家之一 ◎E.M.齐奥朗初试啼声之作 中文简体版首次译介 ★ 在绝望之巅挣扎，燃起超脱生死的激情 将眼泪变成思想，...,8.3,6515, 49.80,https://img1.doubanio.com/view/subject/s/public/s34219967.jpg
供词与放逐,[法]E.M.齐奥朗  赵苓岑 ,广西师范大学出版社, 2023-8 ,【编辑推荐】 ⭐ “丧”系哲学家·重度失眠病人·最著名的怀疑论者——齐奥朗 他是哲学家E.M.齐奥朗，反叛是他的代名词， 他与伊利亚德、尤内斯库并称“罗马尼...,8.3,302, 39.8元,https://img9.doubanio.com/view/subject/s/public/s34595866.jpg
苦论,[法国] E.M.齐奥朗  蔡羽婷 ,广西师范大学出版社, 2023-8 ,【编辑推荐】 ⭐危险哲学家齐奥朗，人生首部短句集！在法国最畅销、最受欢迎之作 “与齐奥朗交朋友是有危险的，但这种危险能让你活着。” 危险哲学家齐奥朗，用“碎...,7.9,428, 39.8元,https://img1.doubanio.com/view/subject/s/public/s34595870.jpg
做哲学 : 88个思想实验中的哲学导论,[美] 小西奥多·希克、刘易斯·沃恩  柴伟佳、龚皓 ,北京联合出版公司, 2018-8 ,你从未读到过的哲学导论 磨砺审辩性思维技巧的方法指南 于哲学实践中锤炼理论想象力和逻辑分析能力 用思想实验不停挑战并重塑你对世界的认知和判断 …………………...,9.3,812, 118.00元,https://img2.doubanio.com/view/subject/s/public/s33823033.jpg
倦怠社会,[德] 韩炳哲  王一力 ,中信出版集团, 2019-6-1 ,否定性的社会已经消失，取而代之的是充溢着积极性的社会。 从这一范式转移出发，韩炳哲展示了当今社会的病理形态，其中包括忧郁症、注意力缺乏症、过劳症等精神疾病。...,7.8,12272, 35.00元,https://img2.doubanio.com/view/subject/s/public/s33300502.jpg
第三次观念飞跃 : 世界冲突的根源与解决之道,[美]琳达·扎格泽博斯基  孙天 ,广西师范大学出版社, 2023-10 ,环境保护、胎儿权利、婚姻定义、身份认同、移民问题、言论边界…… “世界”与“自我”无法兼容的时代，我们如何自处？ 探寻政治与道德分歧的深层根源，一场针对主体...,8.5,51, 88.00元,https://img1.doubanio.com/view/subject/s/public/s34637350.jpg
苏菲的世界,[挪威] 乔斯坦·贾德  萧宝森 ,作家出版社, 2017-8 ,《苏菲的世界》 这是一本风靡世界的哲学启蒙书。 14岁的少女苏菲不断接到一些极不寻常的来信，世界像谜团一般在她眼底展开，她在一位神秘导师的指引下，苏菲开始思...,9.1,10603, 38.00元,https://img9.doubanio.com/view/subject/s/public/s29580784.jpg
分析哲学的故事,(以) 阿纳特·比莱茨基、(以) 阿纳特·马塔尔  刘小涛、何朝安 ,广西师范大学出版社, 2023-9-1 ,分析哲学是什么？分析哲学是否已经终结？分析哲学将向何处去？本书正是英美分析哲学界15位知名学者对以上问题的共同回答。本书作者既包括像希拉里·普特南、雅克·亨...,,10, 88.00,https://img2.doubanio.com/view/subject/s/public/s34637581.jpg
大问题 : 简明哲学导论,[美] 罗伯特·所罗门、[美] 凯思林·希金斯  张卜天 ,清华大学出版社, 2018-7 ,本书的目的就是引导读者进入真正思考的大门。罗伯特·所罗门教授尤以擅长授课和写作清晰流畅著称，他不像一般哲学导论著作那样按照事件发生的顺序罗列哲学史上的一些观...,9.4,2796, 98.00元,https://img9.doubanio.com/view/subject/s/public/s33923794.jpg
哲学家们都干了些什么？ : 2022修订本,林欣浩 ,北京日报出版社, 2022-2-28 ,一部严谨却不严肃的哲学史 明明在围观哲学家们的隐私八卦，一不小心掌握了西方哲学的思想精华！ 在穷凶极恶的吐槽和喜闻乐见的段子中，读懂神烦的苏格拉底、宅男康德...,8.7,1813, 59.90元,https://img2.doubanio.com/view/subject/s/public/s34145113.jpg
人生的智慧,(德)叔本华  韦启昌 ,上海人民出版社, 2008-10-01 ,他于1850年写了《附录和补遗》一书，《人生的智慧》是该书中的一部分。在书中，他以优雅的文体，格言式的笔触阐述了自己对人生的看法。《人生的智慧》使沉寂多年的...,9.2,31700, 28.00元,https://img9.doubanio.com/view/subject/s/public/s4619775.jpg
爱欲之死,[德] 韩炳哲  宋娀 ,中信出版社, 2019-3-1 ,【内容简介】 爱欲是勇于否定自我，肯定他者。 爱欲与他者密切相关，是个体在自我的王国里无法征服的疆土。 爱欲以超验性、彻底的独一无二性为前提。当今社会越来越...,7.7,10392, 32.00元,https://img1.doubanio.com/view/subject/s/public/s30012727.jpg
福柯的界线,汪民安 ,南京大学出版社, 2023-9 ,※清华大学教授、知名学者汪民安力作※ 探究无孔不入的权力， 抵抗现代社会对人的规训， 完整而清晰地勾勒福柯思想谱系 【编辑推荐】 福柯所研究的对象大多从未进...,8.8,43, 68.00,https://img2.doubanio.com/view/subject/s/public/s34641582.jpg
哲学的历程 : 西方哲学历史导论(第四版),[美]威廉·F. 劳黑德  郭立东、丁三东 ,中国轻工业出版社, 2017-3-1 ,哲学史不是一座布满灰尘的博物馆，它的呈现远比我们认为的更加富于生气。好的哲学史书也不是包含密集而扼要事实信息的百科全书，而是一场对话与发现之旅。 本书产生于...,9.6,590, 73.5,https://img1.doubanio.com/view/subject/s/public/s33750290.jpg
虚无主义,[荷兰]诺伦·格尔茨（Nolen Gertz）  张红军 ,商务印书馆, 2022-10 ,先要直面虚无， 才能找到意义——一本写给当代人的反“空虚”指南！ 《哈利·波特》《权力的游戏》《真探》……当代流行作品中，隐藏着怎样的逃避本质？ 算法、社交...,8.8,929, 60,https://img1.doubanio.com/view/subject/s/public/s34321177.jpg
存在主义是一种人道主义,(法)让-保罗·萨特  周煦良、汤永宽 ,上海译文出版社, 2012-6-1 ,存在主义是现代西方哲学中影响极大、流行极广、风行一时的哲学流派。其主要代表人物就是法国哲学家萨特。本书由两篇构成：《存在主义是一种人道主义》和《今天的希望：...,8.5,11571, 23.00元,https://img1.doubanio.com/view/subject/s/public/s34186558.jpg
寻觅意义,王德峰 ,山东文艺出版社, 2022-10-25 ,安顿我们的内心，追寻生活的意义 复旦大学王德峰教授2022作品 “当宏大叙事已经解体的今天，叙事并没有停止，而是化为了一些小叙事。在无数的小叙事中，我们重新...,8.5,1979, 49.80元,https://img2.doubanio.com/view/subject/s/public/s34324473.jpg
笛卡尔的《第一哲学的沉思》,(美) G·哈特费尔德  尚新建 ,广西师范大学出版社, 2023-9-1 ,【一句话推荐】 权威导读助你理解笛卡尔的《第一哲学的沉思》。逐章节解读原著，专业译者，译文精准、流畅，让艰深哲学经典不再遥不可及。大学问出品 - 【内容简介...,9.1,13, 98,https://img9.doubanio.com/view/subject/s/public/s34642056.jpg
人生的智慧,[德] 叔本华  韦启昌 ,上海人民出版社, 2014-4 ,他于1850年写了《附录和补遗》一书，《人生的智慧》是该书中的一部分。在书中，他以优雅的文体，格言式的笔触阐述了自己对人生的看法。《人生的智慧》使沉寂多年的...,9.3,9381, CNY 40.00,https://img1.doubanio.com/view/subject/s/public/s33608819.jpg
黑格尔哲学,[英]W.T.斯退士 ,鲍训吾, 崇文书局 ,◎以一册的篇幅，展现黑格尔体系的全貌。 ◎明白晓畅地逐一推演黑格尔哲学主要概念，廓清难点，是研读黑格尔的绝佳参考书。 ◎还原英文原版，每一推演完成后，皆以黑...,9.3,16, 2023-9-1,https://img1.doubanio.com/view/subject/s/public/s34624600.jpg
中国哲学简史 : （软精经典版）,冯友兰  涂又光 ,北京大学出版社, 2013-1-1 ,20世纪中国一代哲人冯友兰毕生的经典代表作! 被韩国首位女总统朴槿惠奉为生命灯塔，给了她战胜混乱世界的智慧和教诲。 北京大学出版社独家拥有版权的冯友兰亲自指...,9.3,13874, 38.00元,https://img1.doubanio.com/view/subject/s/public/s24586939.jpg
作为意志和表象的世界,[德] 叔本华  石冲白 ,商务印书馆, 1982-11 ,叔本华（1788—1860），德国著名哲学家，哲学史上第一个公开反对理性主义哲学的人，唯意志论的创始人。叔本华认为世界是我的表象，但以意志取代康德哲学中不可...,9.0,9081, 48.00元,https://img2.doubanio.com/view/subject/s/public/s1406661.jpg
尼采之前的虚无主义,[美]迈克尔·艾伦·吉莱斯皮  张红军 ,商务印书馆, 2023-8 ,虚无主义从何而来？我们如何摆脱虚无主义？ 尼采宣称是“上帝之死”和人的衰弱导致“虚无主义就站在门口”。因此，只有加强人的意志，把人改造成“超人”才能摆脱虚无...,8.1,14, 80.00,https://img2.doubanio.com/view/subject/s/public/s34628491.jpg
DK了不起的哲学思维,DK公司编著  冀建中译 ,浙江教育出版社, 2023-10 ,你知道吗？哲学离孩子其实并不遥远，相反地，学习哲学对于培养孩子的理性思维、思辨能力、解决问题的能力等核心素养都具有非常重要的意义，因此，送给孩子一本哲学启...,9.7,143, 98,https://img1.doubanio.com/view/subject/s/public/s34642117.jpg
苏菲的世界,[挪] 乔斯坦·贾德  萧宝森 ,作家出版社, 2007-10 ,这本书以小说的形式，通过一名哲学导师向一个叫苏菲的女孩传授哲学知识的经过，揭示了西方哲学发展的历程。由前苏格拉底时代到萨特，以及亚里士多德、笛卡儿、黑格尔等...,8.8,57266, 26.00元,https://img1.doubanio.com/view/subject/s/public/s3042670.jpg
感知·理知·自我认知,陈嘉映 ,北京日报出版社, 2022-1 ,★ 哲学家陈嘉映先生新近思考力作。陈老师精研现象学、语言哲学，善于从小词的辨析入手去分析哲学问题，并终通达他一直在思考的问题，也就是那个古老的苏格拉底之问：...,8.8,2040, 58,https://img1.doubanio.com/view/subject/s/public/s34078898.jpg
汉娜·阿伦特 : 爱与恶,[瑞典]安·黑贝莱因  李磊 ,新星出版社, 2023-8 ,汉娜·阿伦特，20 世纪伟大的政治思想家，她生活的时代被战争与政治的动荡所主导，其个人生活也同样波澜壮阔。时隔多年，阿伦特仍凭借其真知灼见影响着世人，并激发...,8.7,209, 48.00,https://img9.doubanio.com/view/subject/s/public/s34643826.jpg
生活世界中的功利主义 : 哲学原理与历史实践,,巫怀宇, 南京大学出版社 ,功利主义可概括为两个原则，即“最大幸福原则”和“利益的平等考量原则”。正是简练的理论，为万千变化的实践留出了充足空间，能够在一切历史条件下给出某个最不坏的解...,9.3,21, 2023-10,https://img9.doubanio.com/view/subject/s/public/s34642044.jpg
像哲学家一样生活 : 斯多葛哲学的生活艺术,[美] 威廉· B．欧文  胡晓阳、芮欣 ,上海社会科学院出版社, 2018-1-1 ,多数人向往良好的生活，却只有少数人了解它的前提。你的人生也许就差这本哲学书，牛津大学出版社畅销哲学普及读物，不朽经典《沉思录》当下生活践行版。古老的斯多葛智...,8.4,2580, 52.8,https://img9.doubanio.com/view/subject/s/public/s33661556.jpg
尼采与哲学,[法]吉尔·德勒兹  周颖、刘玉宇 ,上海文艺出版社, 2023-8 ,🦉20世尼采研究的扛鼎之作，与海德格尔的《尼采》齐名。 🦉开启法国后现代主义之路的经典名作，德勒兹的诸多创见发轫于此。 ------------------...,9.4,56, 68,https://img2.doubanio.com/view/subject/s/public/s34609692.jpg
戏剧狂想曲,[法]阿兰·巴迪欧  黄婷 ,南京大学出版社, 2023-9 ,阿兰·巴迪欧是法国当代著名哲学家、当代世界与齐泽克和阿甘本等人齐名的左翼学者。本书是阿兰·巴迪欧关于戏剧的评论集，是以片段化的写作形式构建的戏剧思想絮语，是...,8.4,37, 52.00,https://img2.doubanio.com/view/subject/s/public/s34648133.jpg
有限与无限的游戏 : 一个哲学家眼中的竞技世界,[美] 詹姆斯·卡斯  马小悟、余倩 ,电子工业出版社, 2019-5-1 ,在这本书中，詹姆斯·卡斯向我们展示了世界上两种类型的“游戏”：“有限的游戏”和“无限的游戏”。有限的游戏，其目的在于赢得胜利；无限的游戏，却旨在让游戏永远进...,8.3,2865, 68.00元,https://img9.doubanio.com/view/subject/s/public/s33934756.jpg
自由活动时间 : 一位监狱哲学教师的回忆录,[英] 安迪·韦斯特  李亚迪 ,贵州人民出版社, 2023-7 ,🏆《爱尔兰时报》2022年度最佳非虚构作品 🙌🏻《悉尼书评》《新人文主义者》《记事板》一致推荐 🚨 边缘人思想群态 | 现实版《肖申克的救赎》 ┄┄┄┄┄┄...,8.3,60, 68,https://img1.doubanio.com/view/subject/s/public/s34582789.jpg
苏格拉底的申辩,[古希腊] 柏拉图  吴飞 译疏 ,华夏出版社, 2007-6 ,《柏拉图注疏集:苏格拉底的申辩》记述的是公元前399年，一个叫莫勒图斯的年轻人在雅典状告哲学家苏格拉底，说他不信城邦诸神，引进新的精灵之事，败坏青年。于是，...,9.2,3411, 25.00元,https://img9.doubanio.com/view/subject/s/public/s4595394.jpg
禅与摩托车维修艺术,[美] 罗伯特·M.波西格  张国辰、王培沛 ,重庆出版社, 2018-9 ,在《柏拉图对话集》中，斐德洛是一个爱好哲学的普通雅典青年。而在本书中，斐德洛重返人间。他曾经是学哲学的学生，同时也是教修辞学的教师，但是由于哲学理念与文化的...,8.5,3212, 79.80,https://img2.doubanio.com/view/subject/s/public/s29831183.jpg
沉思的生活，或无所事事,[德]韩炳哲  陈曦 ,中信出版集团, 2023-7-3 ,“滚动着，像石头一样滚动着，按照愚蠢的机械定律。”——我们正在成为这样一群行动者。我们对生活的感知只剩工作和绩效，“无所事事”也就成了我们想尽快清除的赤字。...,8.0,114, 58.00元,https://img9.doubanio.com/view/subject/s/public/s34567165.jpg
理性的边界 : 人类语言、逻辑与科学的局限性,[美]诺桑·S.亚诺夫斯基 (Noson S. Yanofsky)  王晨 ,人民邮电出版社, 2023-7-25 ,人类的理性是有局限的，如果我们执意相信理性是无所不能的，就会被理性的局限所限制，从而导致缺乏足够的想象力和探索精神。 因此，人类如果想更大程度上认识自身、认...,9.3,28, 99.8,https://img1.doubanio.com/view/subject/s/public/s34589989.jpg
逻辑哲学论,[奥] 维特根斯坦  贺绍甲 ,商务印书馆, 1996-12 ,《逻辑哲学论》是路德维希·维特根斯坦的主要著作，也是逻辑实证主义的早期重要著作。维特根斯坦在这本书中否定因果律，断言逻辑和数学的命题都是重言性质的，所有哲学...,9.2,3744, 13.00元,https://img2.doubanio.com/view/subject/s/public/s34187533.jpg
哲学导言：交往理性五论 : 交往理性五论,[德] 尤尔根·哈贝马斯  童世骏、应奇、郑宁宁 ,上海译文出版社, 2023-7-15 ,★ 中文世界首次迎来哈贝马斯说哈贝马斯当今最著名、最难懂的理论大师尤尔根•哈贝马斯，首次完整、系统回顾他的哲学观、思想路径和最重要的理论贡献，“交往理性”。...,8.6,24, 98.00,https://img2.doubanio.com/view/subject/s/public/s34577662.jpg
现象学入门,[丹麦]丹·扎哈维  康维阳 ,商务印书馆, 2023-5 ,⭐️目前已经有德文、英文、日文等6译本⭐️ ⭐️本书依据的英文版豆瓣评分9.6分⭐️ 本书是丹·扎哈维对20世纪主导性哲学运动之一的现象学简明而有吸引力的介...,9.7,197, 58.00元,https://img2.doubanio.com/view/subject/s/public/s34507612.jpg
