user_name,user_id,group,user_beizhu
岁已江春香未尽,atreides1030,"读书 , 人文社科",化学转历史
卢十四,sharplhl,网红,在豆瓣工作的
熊阿姨,auntbear,新传,“三联”记者
Haijun,ecvip,,暨大，产品经理
[已注销],farmostwood,未分组,数学博士
fateface,4187023,老师,历史学家
大头,wilbeibi,,程序员
悦然,kisskarma,作家,张悦然
姬十三,jbird,,果壳网 CEO
严锋,yanfeng,老师,严锋
malingcat,malingcat,"老师 , 新传",复旦马凌老师
RSS,iRSS,,
莫水田,58650173,老师,
笑来,lixiaolai,网红,
马可勒拉,staples08,未分组,
van。,ithurt,未分组,
小熊熊熊啊,melanie,作家,
南桥,berlinf,"老师 , 人文社科",
江有汜,jiangyousi,老师,华东师大政治系
江绪林,jiangxulin,老师,前华师教师
维舟,weizhoushiwang,作家,书评人
宇宙飞行士,freecat1992,人文社科,美帝文学 phd
考拉小巫,kaolaxiaowu,网红,
艾小玛,78088543,人文社科,美帝博士
amstel,phk189,新传,英本新传硕
李静睿,1025122,作家,作家
周安迪,adifferentstar,网红,英语学习达人
Ying,emilycat,网红,
欧阳,ouyangzhiping,"量化 , 人文社科",
采花贼欧亨利,HouseFive,老师,
·,liubinyan,读书,读书达人
澤倫勝之,taishizheng,老师,复旦历史系博士
树上的男爵,baronontree,网红,
十三,49903127,网红,英语达人
带三个表,1453569,网红,
伯爵在城堡,chenghao23,作家,
[已注销],vmess,网红,
远子,xiaoxiaodeyuanz,作家,
传奇小队长,cqxdz,"人文社科 , 网红",
倪湛舸,10686358,老师,
naoko,naokouc,,
Mr. Curiosity,1750234,新传,
老神仙,36863475,老师,陆谷孙教授
西门龙,scut,读书,24 小时书店老板
编程随想,program_think,网红,
[已注销],Zoe927,老师,北科大信科老师
木小年不插电,shilin,"老师 , 新传",传播学教师
周杰伧的小粉丝,54883420,网红,叫兽小易星
frozenmoon,1233038,作家,作家杨时旸
魔鬼咨询师,dashanxue,网红,
iamsujie,iamsujie,,人人都是 PM
刘未鹏 pongba,pongba,,
warfalcon,warfalcon,网红,
王勤伯,26663243,作家,足球记者
苏格拉底大王,frankwang,"老师 , 新传",南大王成军
文冤阁大学士,1656330,老师,复旦英文系教授
功夫熊猫小碗熊,ziyoupaifeizai,人文社科,
mlln,mlln,老师,董晨宇
[已注销],philfenghan,未分组,
[已注销],133411815,未分组,
[已注销],42862516,未分组,
波鲁克吉娜,shuangzifei8905,"老师 , 人文社科",
[已注销],82907870,未分组,
安替,mranti,未分组,
东东枪,Ray.Hao,网红,
sanbilly,2766930,人文社科,历史学博士
帅气男孩卢十四,80611914,网红,
风行水上,1272884,未分组,
Vamei,ztftom,,
袁长庚,yuanchanggeng,老师,南科大老师
数数,49903424,老师,统计学教师
知心姐姐卢先生,woodyallen_1935,人文社科,语言学博士
阿北,ahbei,未分组,
王小岸,Horace.Wang,老师,戏曲研究者
章伯,2820679,老师,
方可成,incurable,新传,方可成
黄孙权,huangsunquan,老师,
